271	490
277	520
79	537
569	768
434	257
495	957
981	655
194	532
268	280
904	107
827	100
156	68
230	999
480	808
639	321
69	444
467	300
241	385
752	655
378	378
625	872
435	556
119	62
160	573
355	584
575	120
241	44
288	261
30	78
525	399
694	922
218	422
437	160
6	164
177	523
321	354
214	608
382	796
447	78
321	540
539	552
905	574
905	543
482	400
540	814
130	734
144	88
279	143
812	470
295	895
640	19
171	837
629	913
987	621
699	285
336	330
898	503
746	73
645	468
547	675
917	115
884	506
512	62
540	741
466	950
870	115
487	376
926	76
836	148
641	375
505	664
243	865
668	429
88	338
476	233
548	474
736	87
645	884
263	390
217	645
1	446
269	56
785	136
849	791
696	708
780	345
905	252
989	552
927	812
787	463
548	599
398	95
528	328
385	302
519	490
888	506
596	511
136	68
309	722
310	319
199	218
375	93
34	158
600	761
951	850
907	987
128	324
729	132
748	244
515	192
414	468
243	261
513	180
708	959
514	496
426	346
193	112
177	173
326	660
967	682
151	724
886	403
670	447
862	378
654	608
474	971
662	153
538	188
55	977
876	177
785	120
742	998
560	226
802	856
781	724
915	880
852	676
742	186
819	908
98	819
933	787
900	311
803	742
999	457
333	694
299	45
827	641
282	966
577	449
959	208
611	345
799	778
585	862
549	644
641	383
374	731
167	58
940	160
199	379
784	85
401	453
961	187
319	495
153	868
192	280
354	851
398	60
488	253
509	823
701	806
951	595
110	97
411	778
544	332
504	457
216	180
65	566
882	826
455	643
902	527
528	721
150	979
988	820
388	721
56	819
632	945
813	825
915	383
76	603
710	443
596	643
219	703
441	668
770	318
54	224
773	225
589	915
136	624
307	554
868	788
644	866
566	653
905	293
827	700
762	464
953	878
805	86
832	694
210	957
750	609
139	948
479	17
943	905
411	719
317	204
883	737
787	621
578	168
269	896
424	231
770	525
480	556
46	906
444	269
253	706
697	618
891	581
858	823
235	65
117	453
770	824
880	697
587	859
977	66
805	164
63	448
201	719
24	708
108	844
516	346
805	173
33	940
868	862
60	981
701	149
25	145
946	731
459	899
463	23
32	902
465	933
89	543
769	795
346	911
990	804
16	770
5	208
71	739
607	515
569	920
314	390
887	427
933	386
56	657
451	908
420	3
432	819
990	857
548	766
805	152
992	630
709	180
217	389
341	365
195	289
185	893
866	982
385	287
941	378
171	805
454	897
603	867
922	645
141	599
522	38
254	860
399	129
679	64
634	634
140	672
397	884
143	938
79	823
98	318
165	336
105	347
373	786
710	780
280	244
120	457
587	786
283	913
367	739
318	271
214	525
289	59
434	123
186	727
188	62
918	24
209	422
102	91
438	239
534	780
465	124
859	808
445	181
398	86
450	305
784	935
349	35
849	464
271	613
107	8
763	230
329	464
865	487
251	594
190	451
516	551
388	606
402	891
119	987
143	116
975	481
47	779
96	781
396	418
310	580
52	357
6	344
712	790
852	504
185	105
493	264
862	405
169	232
98	892
871	557
493	852
73	345
716	241
973	563
847	571
715	792
763	583
352	720
924	686
772	321
765	957
378	381
622	660
707	286
215	491
514	158
866	659
168	363
681	666
747	431
276	379
391	271
718	495
447	91
533	577
369	36
222	536
18	331
116	99
810	974
496	200
615	352
164	826
361	419
64	51
211	450
36	6
839	619
863	990
797	48
692	978
624	861
925	832
463	114
282	554
217	837
741	527
870	884
399	886
980	868
292	929
